Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Nashville,Weekly,"2020-01-19 00:00:00","Conventional ",0.790000000,345846.03,134780.11,7188.10,309.71,203568.11,179792.47,23234.74,540.90
Nashville,Weekly,"2020-01-12 00:00:00","Conventional ",0.800000000,292711.82,114278.28,7937.44,652.81,169843.29,146086.41,23408.34,348.54
Nashville,Weekly,"2020-01-05 00:00:00","Conventional ",0.820000000,287253.98,117532.70,9292.82,556.25,159872.21,134373.08,25054.95,444.18
"New Orleans/Mobile",Weekly,"2020-01-26 00:00:00","Conventional ",0.830000000,421091.55,199711.95,22535.16,443.00,198401.44,128768.82,59729.29,9903.33
"New Orleans/Mobile",Weekly,"2020-01-19 00:00:00","Conventional ",0.870000000,386974.51,191942.06,19973.68,459.41,174599.36,114261.98,50940.71,9396.67
"New Orleans/Mobile",Weekly,"2020-01-12 00:00:00","Conventional ",0.820000000,366937.73,183926.84,18366.07,408.00,164236.82,112065.29,44188.20,7983.33
"New Orleans/Mobile",Weekly,"2020-01-05 00:00:00","Conventional ",0.860000000,340228.52,173426.91,19824.52,442.00,146535.09,95450.26,43998.17,7086.66
"New York",Weekly,"2020-01-26 00:00:00","Conventional ",1.300000000,1946697.27,38725.73,942684.18,14434.20,949429.94,583119.22,359880.72,6430.00
"New York",Weekly,"2020-01-19 00:00:00","Conventional ",1.360000000,1843608.50,38949.36,1079112.25,17398.89,706692.44,593579.12,106528.88,6584.44
"New York",Weekly,"2020-01-12 00:00:00","Conventional ",1.350000000,1903612.81,33900.28,1014009.73,10300.69,843950.13,572143.42,266543.38,5263.33
"New York",Weekly,"2020-01-05 00:00:00","Conventional ",1.410000000,2295745.27,42892.09,1637672.42,20553.05,593193.11,442704.95,146043.72,4444.44
Northeast,Weekly,"2020-01-26 00:00:00","Conventional ",1.170000000,5740603.31,267576.84,2911488.33,22647.47,2537467.45,1396662.94,1109013.39,31791.12
Northeast,Weekly,"2020-01-19 00:00:00","Conventional ",1.180000000,5975029.33,312992.32,3515327.71,26873.58,2118380.16,1447259.14,640531.02,30590.00
Northeast,Weekly,"2020-01-12 00:00:00","Conventional ",1.210000000,5687105.50,267172.78,3142613.70,16292.63,2259574.41,1466426.10,766878.31,26270.00
Northeast,Weekly,"2020-01-05 00:00:00","Conventional ",1.200000000,6470709.45,264198.91,4465458.53,26013.54,1713603.87,1047398.20,642558.99,23646.68
"Northern New England",Weekly,"2020-01-26 00:00:00","Conventional ",1.110000000,574653.44,10616.87,363518.07,372.69,200145.81,26888.96,172463.52,793.33
"Northern New England",Weekly,"2020-01-19 00:00:00","Conventional ",0.920000000,839194.81,12697.77,683656.47,430.47,142410.10,33420.70,108179.40,810.00
"Northern New England",Weekly,"2020-01-12 00:00:00","Conventional ",1.140000000,568595.44,8995.86,427426.93,275.58,131897.07,26763.69,104230.04,903.34
"Northern New England",Weekly,"2020-01-05 00:00:00","Conventional ",0.830000000,834766.42,8912.66,709765.25,279.03,115809.48,24697.63,90358.51,753.34
Orlando,Weekly,"2020-01-26 00:00:00","Conventional ",0.890000000,724667.83,277791.74,18465.59,4545.40,423865.10,123911.11,299880.65,73.34
Orlando,Weekly,"2020-01-19 00:00:00","Conventional ",0.880000000,714427.97,295778.56,18589.58,5894.80,394165.03,159019.90,231655.13,3490.00
Orlando,Weekly,"2020-01-12 00:00:00","Conventional ",0.890000000,694537.68,271593.60,16784.15,4421.98,401737.95,109844.46,291890.16,3.33
Orlando,Weekly,"2020-01-05 00:00:00","Conventional ",0.870000000,705584.26,267137.07,17851.10,5212.13,415383.96,120977.82,294391.74,14.40
Philadelphia,Weekly,"2020-01-26 00:00:00","Conventional ",1.030000000,646555.45,23915.05,309095.71,2099.74,311444.95,246806.37,59107.47,5531.11
Philadelphia,Weekly,"2020-01-19 00:00:00","Conventional ",1.160000000,591127.21,24657.77,301450.99,2426.88,262591.57,225781.30,30874.72,5935.55
Philadelphia,Weekly,"2020-01-12 00:00:00","Conventional ",1.160000000,619887.76,23812.85,311515.25,1537.43,283022.23,220758.85,57461.16,4802.22
Philadelphia,Weekly,"2020-01-05 00:00:00","Conventional ",1.170000000,674360.75,27557.45,435201.12,1941.28,209660.90,167674.04,37852.42,4134.44
Phoenix/Tucson,Weekly,"2020-01-26 00:00:00","Conventional ",0.920000000,1090571.62,286063.50,271785.46,4596.26,528126.40,230025.40,297964.64,136.36
Phoenix/Tucson,Weekly,"2020-01-19 00:00:00","Conventional ",0.660000000,1671959.19,422653.40,421551.91,3866.54,823887.34,254012.13,569798.21,77.00
Phoenix/Tucson,Weekly,"2020-01-12 00:00:00","Conventional ",0.680000000,1634363.86,564892.66,259827.18,5325.75,804318.27,204252.60,600036.36,29.31
Phoenix/Tucson,Weekly,"2020-01-05 00:00:00","Conventional ",0.750000000,1370165.65,405368.53,247617.44,4964.07,712215.61,191065.36,517900.25,3250.00
Pittsburgh,Weekly,"2020-01-26 00:00:00","Conventional ",1.260000000,121952.43,42351.95,7941.00,511.44,71148.04,29567.38,41580.66,0.00
Pittsburgh,Weekly,"2020-01-19 00:00:00","Conventional ",0.970000000,162854.91,64478.01,10568.71,465.69,87342.50,55742.59,31596.58,3.33
Pittsburgh,Weekly,"2020-01-12 00:00:00","Conventional ",0.960000000,164531.75,58094.52,10231.91,578.10,95627.22,40112.21,55508.35,6.66
Pittsburgh,Weekly,"2020-01-05 00:00:00","Conventional ",1.200000000,112236.27,38021.03,7697.27,526.70,65991.27,31537.10,34454.17,0.00
Plains,Weekly,"2020-01-26 00:00:00","Conventional ",1.070000000,2093830.47,844831.73,384125.85,4486.83,860386.06,636187.80,167759.90,56438.36
Plains,Weekly,"2020-01-19 00:00:00","Conventional ",1.000000000,2312838.51,856531.78,620491.56,26808.65,809006.52,593633.40,169168.76,46204.36
Plains,Weekly,"2020-01-12 00:00:00","Conventional ",1.020000000,2316308.22,939605.26,462153.93,19078.03,895471.00,667953.94,169857.60,57659.46
Plains,Weekly,"2020-01-05 00:00:00","Conventional ",0.990000000,2295027.35,989571.37,467579.53,21781.13,816095.32,645846.38,126099.96,44148.98
Portland,Weekly,"2020-01-26 00:00:00","Conventional ",1.160000000,666539.67,79435.65,81910.29,3031.25,502162.48,283592.72,195826.93,22742.83
Portland,Weekly,"2020-01-19 00:00:00","Conventional ",0.940000000,816554.00,71045.54,114593.41,3695.22,627219.83,374509.98,233140.45,19569.40
Portland,Weekly,"2020-01-12 00:00:00","Conventional ",1.010000000,883330.82,68448.30,139837.40,4618.47,670426.65,291028.81,354099.97,25297.87
Portland,Weekly,"2020-01-05 00:00:00","Conventional ",0.970000000,918027.06,66293.24,139520.08,4122.89,708090.85,294784.59,394326.55,18979.71
Raleigh/Greensboro,Weekly,"2020-01-26 00:00:00","Conventional ",1.060000000,418324.57,150345.29,56879.49,5119.19,205980.60,132739.33,73234.60,6.67
Raleigh/Greensboro,Weekly,"2020-01-19 00:00:00","Conventional ",0.950000000,482966.65,153919.05,59788.23,4956.27,264303.10,194915.14,69374.63,13.33
Raleigh/Greensboro,Weekly,"2020-01-12 00:00:00","Conventional ",1.070000000,419458.91,141189.97,63114.51,5028.83,210125.60,136326.73,73798.87,0.00
Raleigh/Greensboro,Weekly,"2020-01-05 00:00:00","Conventional ",1.020000000,427144.26,160235.91,71978.87,6092.39,188837.09,121597.85,67233.45,5.79
Richmond/Norfolk,Weekly,"2020-01-26 00:00:00","Conventional ",0.950000000,341373.38,94221.94,58904.56,1212.49,187034.39,136901.00,49837.09,296.30
Richmond/Norfolk,Weekly,"2020-01-19 00:00:00","Conventional ",0.880000000,376193.89,107816.99,68807.30,1255.81,198313.79,151857.57,46159.94,296.28
